id,query,expected_pages,expected_chunk_idx_hints,answer,context
G-S-001,소나타 전장 길이가 얼마나 돼?,27,"66,85","4,910mm",p.27 Specifications + Dimensions
G-S-002,소나타에서 제공하는 시트 종류 뭐가 있어?,"22,23","44,46,47",인조가죽/천연가죽/스웨이드+나파가죽/나파가죽 시트 4종,p.22~23 Colors + Seat combination chart
G-S-003,소나타 전폭은?,27,"67,87","1,860mm",p.27 Specifications + Dimensions
G-S-004,소나타 전고는?,27,"68,88","1,445mm",p.27 Specifications + Dimensions
G-S-005,소나타 트림 종류 뭐가 있어?,"20,21","39,43",Premium / S / Exclusive / Inspiration,p.20~21 Features 트림별 사양
G-S-006,소나타 N Line 특징이 뭐야?,"18,19","37,38",다이내믹한 스타일 / 19인치 알로이 휠 + 피렐리 타이어 / N 휠캡 / 듀얼 트윈팁 머플러,p.18~19 N Line 전용 디자인
G-S-007,소나타 안전 기능 뭐 있어?,"14,15","25,26,29,30",현대 스마트센스 (FCA / BCA / NSCC / LFA / RCCA 등),p.14~15 Hyundai SmartSense
G-S-008,소나타 디스플레이는 어떤 종류야?,"5,6","4,5",파노라믹 커브드 디스플레이 (현대 차세대 인포테인먼트 ccNC),p.5~6 Interior 파노라믹 커브드 디스플레이
G-S-009,소나타 외장 색상 몇 가지야?,22,44,8종 (W6H 세레니티 화이트 펄 / NY9 트랜스 미션 블루 펄 / XB9 바이오 필릭 블루 펄 / T9M 녹턴 그레이 매트 / T4M 에어로 실버 매트 등),p.22 Colors Exterior colors
G-S-010,소나타 블루링크 기능이 뭐야?,26,"60,61,62",원격제어 (시동/공조/도어/창문) / 디지털 키 / 빌트인 캠 / 마이현대 앱,p.26 블루링크 + 마이현대 앱
