id,query,doc_id,doc_title,relevant_chunks,acceptable_chunks,source_chunk_text
G-A-001,스마트폰으로 차량 제어 가능한 기종,3b901245-598a-4ed5-b490-632bc39f600d,sonata-the-edge_catalog,10,"8,28,31,36,41,63,89,12,18,38,16,6,14,43","아이폰, 애플워치 및 안드로이드 계열 스마트폰(예: 삼성 스마트폰)으로 도어 잠금/해제 및  시동이 가능하고, 최대 15개 디바이스까지 사용 권한을 공유할 수 있습니다.  * 지원 가능한 상세 기종은 현대자동차 홈페이지를 참조하세요.  Home Intro Exterior Interior Function Performance Hyundai SmartSense"
G-A-002,현대 스마트 센스 기능은 무엇인가요,3b901245-598a-4ed5-b490-632bc39f600d,sonata-the-edge_catalog,31,"8,28,36,41,63,89,18,12,6,53,38,16,24,14,43,4,3,37,10,2,33,55,45,1",Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
G-A-003,현대샵 애프터마켓 상품 구매 방법,3b901245-598a-4ed5-b490-632bc39f600d,sonata-the-edge_catalog,54,,* 현대샵(shop.hyundai.com) 현대브랜드관에서 다양한 애프터마켓 상품 구매가 가능합니다.  * H Genuine Accessories 패키지에 따라 적용 가능 트림이 상이합니다. 보다 자세한 사항은 해당 월의 가격표를 참고하시기 바랍니다. * C to USB-A 변환 젠더는 현대자동차 전용 개발 제품으로 타 제품 및 타 자동차 브랜드에서는 작동
G-A-004,현대 스마트 센스 기능은 무엇인가,3b901245-598a-4ed5-b490-632bc39f600d,sonata-the-edge_catalog,89,"8,28,31,36,41,63,18,12,6,53,38,16,24,14,43,4,3,37,10,2,33,55,45,1",Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
G-A-005,정부 지원 후 장비 활용 계획,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,59,"58,394,47,18,77,40,72,396,10,22,284,393,54,76,39","방안국산 장비 실증계획 등 ( ·SW  ) 실증된 장비 의 수요처 활용수급  ,  ·SW ·  방안테스트베드의 수익화 등 정부 지원 후 활용 방안 ,  * 등을 제시  예시 정부 재정지원 종료 후 활용 계획정부 재정 지원 조기 종료 시 대응 및      * ( )  ,  활용 방안 등  ○ (성과확산 활동 참여) 필요시 전담 기관의 관련 성과제고 행사 및 "
G-A-006,성과관리 컨설팅 지원센터 운영 방안,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,191,"189,14,196,194,179,214,178,206,411,183,186,192,208,231,230,130,410,225","컨     ※  설팅 지원센터를 위한 별도 인프라사무실 등구축은 지양하고 필요시 효율적 운영방안 제시 ( )  - 성 ( 과관리컨설팅 지원센터 운영 성과 제고를 위한 만족도 조사성과 )  ,  목표치 관리 등 수행하고 우수사례 발굴을 통한 성과전파 활동 수행  필요시 성과 홍보를 위한 온오프라인 홍보물 제작 및 기사 배포      · ※  ○ 활용 가이드라"
G-A-007,창업 지원 대상 자격 요건,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,332,425,"자본으로 인정할 때 자본전액잠식이 아닌 경우 다 중소기업창업지원법 상 초기창업기업창업 년 이내에 해당하는 경우      .  ( 3 ) 「 」  단최종 협약이전 자본잠식을 해소해야 하며증빙 미제출 시 차순위 후보자를 선정       -  ,  ,  외부감사 기업의 경우 최근년도 결산감사 의견이 의견거절 또는 부적정인 경우   6.  "" ""  "" "" 사업자 "
G-A-008,데이터센터 컨설팅 지원센터 운영 모델,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,409,"410,407,183,389,14,412,408,189,405,414,415,386,402,401,178,416,36,397,388,196,413,179,411,190,398,206,184,403,385,185,181","pa 정보통신산업진흥원 National IT Industry Promotion Agency 다시, 대한민국! 새로운 국민의 나라 제안 요청 사항 (컨설팅 지원센터 운영모델 마련) 데이터센터 유치 및 계획 중인 지자체, 비수도권에 위치한 기업 등을 대상으로 효율적이고 체계적인 상시 컨설팅 지원센터 운영 모델 제안 - 비수도권 데이터센터 관련 실질적 도움이 될"
G-A-009,젊은 여성의 옷차림과 표정,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,1,,[기타] 긴 생머리에 앞머리를 내린 젊은 여성이 베이지색 가디건을 입고 미소 짓고 있는 상반신 사진
G-A-010,사업 운영의 꿈은 무엇인가요,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,2,,[문서] 어떤 꿈을 가지고 사업을 운영하고 있다는 내용  이런 꿈을 가지고 운영하고 있습니다.
